epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,offline_failures,online_failures,valid
0.3,10,False,150,0,150,50,226.49718751974945,0,0,True
0.3,20,True,60,0,60,50,89.97589401425323,0,0,True
0.3,20,True,100,0,100,50,150.1951694919561,0,0,True
0.3,20,True,150,0,150,50,226.49718751974945,0,0,True
0.3,20,False,60,0,60,50,89.97589401425323,0,0,True
0.3,20,False,100,0,100,50,150.1951694919561,0,0,True
0.3,20,False,150,0,150,50,226.49718751974945,0,0,True
0.3,25,True,60,0,60,50,89.96217917046418,0,0,True
0.3,25,True,100,0,100,50,150.1951694919561,0,0,True
0.3,25,True,150,0,150,50,226.49718751974945,0,0,True
0.3,25,False,60,0,60,50,89.96217917046418,0,0,True
0.3,25,False,100,0,100,50,150.1951694919561,0,0,True
0.3,25,False,150,0,150,50,226.49718751974945,0,0,True
0.3,30,True,60,0,60,50,89.96217917046418,0,0,True
0.3,30,True,100,0,100,50,150.1951694919561,0,0,True
0.3,30,True,150,0,150,50,226.49718751974945,0,0,True
0.3,30,False,60,0,60,50,89.96217917046418,0,0,True
0.3,30,False,100,0,100,50,150.1951694919561,0,0,True
0.3,30,False,150,0,150,50,226.49718751974945,0,0,True
