epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,total_objective_sum,offline_failures,online_failures,valid
0.1,10,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.1,10,False,100,0,100,50,150.05160443226538,15005.160443226538,0,0,True
0.1,10,False,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,15,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.1,15,True,100,0,100,50,150.0280211320899,15002.802113208989,0,0,True
0.1,15,True,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,15,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.1,15,False,100,0,100,50,150.0280211320899,15002.802113208989,0,0,True
0.1,15,False,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,20,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.1,20,True,100,0,100,50,150.016695039641,15001.6695039641,0,0,True
0.1,20,True,150,0,150,50,224.77615698408854,33716.42354761328,0,0,True
0.1,20,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.1,20,False,100,0,100,50,150.016695039641,15001.6695039641,0,0,True
0.1,20,False,150,0,150,50,224.77615698408854,33716.42354761328,0,0,True
0.2,1,True,60,0,60,50,89.96467167192296,5397.880300315377,0,0,True
0.2,1,True,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,1,True,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,1,False,60,0,60,50,89.96467167192296,5397.880300315377,0,0,True
0.2,1,False,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,1,False,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,2,True,60,0,60,50,89.96467167192296,5397.880300315377,0,0,True
0.2,2,True,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,2,True,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
0.2,2,False,60,0,60,50,89.96467167192296,5397.880300315377,0,0,True
0.2,2,False,100,0,100,50,150.12396689045264,15012.396689045263,0,0,True
0.2,2,False,150,0,150,50,225.1362493255213,33770.437398828195,0,0,True
